player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0036329,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,21.0,0,0.0,0.0,1.0,3.934015304548666,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019273127753303965
00-0036331,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,15.0,0,0.0,0.0,0.0,-0.5527567394892685,0,4,9,18.0,0,0.0,0.0,81.0,17.0,0.0,-4.006126745357719,0,2.0,0.32416932482721955,0.3091985016651088,0.7026929384064055,0.0,3.3,7.3,6,0.04838709677419355,0.05476673427991886,0.03165735567970205,0.1163940325852254,0.014251781472684086,0.0,0.0,0.0,0.007125890736342043,0.01140142517814727,0.0967741935483871,0.014056843564661478
00-0036331,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,3.0,0,0.0,0.0,1.0,-1.0670950842904858,0,11,16,79.0,0,0.0,0.0,183.0,63.0,7.0,3.422312750655692,0,4.864189482833551,0.45860767139836905,0.5529955984911452,1.0750084260413553,0.0,8.200000000000001,19.200000000000003,10,0.047058823529411764,0.06664238892935179,0.05407725321888412,0.12390214643759909,0.03431798436142485,0.0,0.06862745098039216,0.061946902654867256,0.017158992180712426,0.02745438748913988,0.2323529411764706,0.02518098835379289
00-0036332,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,8,8,65.0,0,0.0,0.0,26.0,39.0,3.0,1.157741245930083,0,7.939473684210526,0.27212981744421905,0.09320382083510323,0.47343740075090085,0.0,6.500000000000001,14.5,4,0.06837606837606838,0.02663934426229508,0.10893854748603352,0.12387557797393864,0.080545229244114,0.0,0.08333333333333333,0.07317073170731707,0.040272614622057,0.06443618339529121,0.5555555555555556,0.05097019122609674
00-0036332,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,3,3,14.0,0,0.0,0.0,2.0,12.0,0.0,-1.31369275925681,0,6.0,0.08071046600458365,0.0061340437413602115,0.12535952962582764,0.0,1.4000000000000001,4.4,3,0.025210084033613446,0.0025906735751295338,0.030379746835443037,0.0398876649105238,0.017114914425427872,0.0,0.0,0.0,0.008557457212713936,0.013691931540342298,0.11764705882352941,0.01638611649039178
00-0036336,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,2,2,11.0,0,0.0,0.0,4.0,7.0,1.0,1.1931449007242918,0,2.75,0.044444444444444446,0.012232415902140673,0.07522935779816514,0.0,1.1,3.1,1,0.043478260869565216,0.012232415902140673,0.06363636363636363,0.07500332402606036,0.04741379310344827,0.0,0.1111111111111111,0.1,0.023706896551724137,0.03793103448275862,0.2391304347826087,0.04213101386246263
00-0036345,2023,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,48,75,540.0,3,1.0,0.0,659.0,185.0,28.0,6.300214012577381,0,11.976315348718115,2.072567178207877,2.3360157024553763,4.744061759030579,0.0,72.0,120.0,15,0.13274336283185842,0.1494669993195736,0.10768335273573923,0.3186886437034465,0.12699905926622765,0.10714285714285714,0.1414141414141414,0.13716814159292035,0.11707095820454239,0.12302781884155356,0.9557522123893806,0.0876949385404639
00-0036345,2024,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,7,18,57.0,1,0.0,0.0,107.0,16.0,2.0,-7.306763498627287,0,2.8,0.6617472513743128,0.5808662523332024,1.399227253694711,0.0,11.7,18.7,6,0.10285714285714286,0.0874897792313982,0.028419182948490232,0.22427753767083283,0.05413105413105413,0.2,0.038461538461538464,0.05263157894736842,0.12706552706552707,0.0833048433048433,0.32571428571428573,0.04633070710073832
00-0036355,2023,REG,297,456,3134.0,20,7.0,29.0,233.0,3,1,3490.0,1568.0,150.0,26.86385552285643,1,12.114518288156395,1.0576313660183028,52,228.0,3,1.0,0.0,16.0,5.384589101048538,0,1,1,10.0,0,0.0,0.0,-7.0,17.0,1.0,1.7805309167597443,0,0.0,0.02702702702702703,-0.02734375,0.021399915540540545,0.0,233.16,234.16,13,0.002074688796680498,-0.0018701576275714667,0.010346926354230066,0.0016159070929635737,0.00297441998810232,0.0,0.006289308176100629,0.005555555555555556,0.00148720999405116,0.002379535990481856,0.02074688796680498,0.2021269249361232
00-0036355,2024,REG,332,504,3870.0,23,3.0,41.0,244.0,4,1,4335.0,1688.0,175.0,68.9618388662315,3,15.889138927471691,2.047856945470205,69,306.0,2,2.0,1.0,23.0,5.11319123656043,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,285.40000000000003,285.40000000000003,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20409914613041177
