player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,grades_kick_return,grades_punt_return,grades_return,kickoff_attempts,kickoff_fair_catches,kickoff_long,kickoff_muffed_returns,kickoff_touchdowns,kickoff_yards,kickoff_ypa,penalties,punt_attempts,punt_fair_catches,punt_long,punt_muffed_returns,punt_touchdowns,punt_yards,punt_ypa,total_attempts
River Cracraft,47417,WR,WAS,2,0,32,,61.2,61.0,0,0,0,0,0,0,,0,2,0,1,0,0,1,0.5,2
Scott Miller,47481,WR,PIT,14,0,25,,62.6,62.0,0,0,0,0,0,0,,0,2,2,25,0,0,34,17.0,2
Hunter Renfrow,47509,WR,CAR,6,0,5,,62.1,61.6,0,0,0,0,0,0,,0,2,2,13,0,0,13,6.5,2
KaVontae Turpin,47658,WR,DAL,15,1,9,77.8,66.7,80.4,69,0,84,0,0,1814,26.3,2,8,13,19,0,0,55,6.9,77
DJ Turner,47663,WR,LV,1,0,23,,60.1,60.2,0,0,0,0,0,0,,0,0,1,0,0,0,0,,0
D.K. Metcalf,47864,WR,PIT,16,0,25,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Ray-Ray McCloud III,47895,WR,NYG,6,0,21,62.6,62.0,63.5,4,0,30,0,0,91,22.8,0,2,2,0,0,0,0,0.0,6
Andre Baccellia,47901,WR,ARZ,5,0,1,61.4,,61.6,9,0,43,0,0,236,26.2,0,0,0,0,0,0,0,,9
Braxton Berrios,47961,WR,HST,5,0,13,62.2,61.6,62.9,4,0,32,0,0,100,25.0,0,3,0,10,0,0,25,8.3,7
Alex Bachman,47996,WR,LV,13,0,23,62.9,66.0,65.8,1,0,0,0,0,0,0.0,0,22,9,25,1,0,124,5.6,23
Jauan Jennings,48027,WR,SF,17,0,28,59.9,,59.9,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Nyheim Miller-Hines,48103,HB,NO,4,0,20,60.7,61.1,61.5,7,0,40,0,0,195,27.9,0,1,0,11,0,0,11,11.0,8
Dante Pettis,48113,WR,NO,8,0,20,63.7,66.6,66.8,15,0,32,0,0,351,23.4,0,13,10,17,0,0,79,6.1,28
Cedrick Wilson Jr.,48170,WR,MIA,10,0,17,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Deebo Samuel,48274,WR,WAS,16,0,32,61.5,,61.6,16,0,69,0,0,452,28.3,0,0,0,0,0,0,0,,16
A.J. Brown,48327,WR,PHI,16,0,24,61.2,,61.2,1,0,1,0,0,1,1.0,0,0,0,0,0,0,0,,1
Steven Sims,48341,WR,ARZ,3,0,1,55.1,62.3,56.3,10,0,31,0,0,236,23.6,0,3,0,18,0,0,32,10.7,13
Mike Ford,50535,CB,ATL,17,0,2,,60.1,60.2,0,0,0,0,0,0,,1,1,0,0,1,0,0,0.0,1
Kenny Moore II,51596,CB,IND,14,0,14,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Austin Trammell,52195,WR,JAX,6,0,15,57.2,62.3,59.0,2,0,54,1,0,54,27.0,0,1,2,15,0,0,15,15.0,3
Colby Parkinson,52266,TE,LA,18,0,26,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Charlie Jones,55038,WR,CIN,14,0,7,79.4,67.2,81.4,42,0,98,0,1,1084,25.8,0,13,12,23,0,0,115,8.8,55
Josh Blackwell,55589,CB,CHI,17,0,6,47.5,,46.1,19,0,34,0,0,474,24.9,1,0,0,0,0,0,0,,19
DeeJay Dallas,55632,HB,JAX,6,0,15,66.4,62.0,67.1,12,0,35,0,0,321,26.8,0,0,4,0,0,0,0,,12
Marcus Jones,55717,CB,NE,20,0,19,,91.1,84.2,0,0,0,0,0,0,,0,28,19,94,2,2,420,15.0,28
Grant Stuard,55933,LB,DET,17,0,11,59.1,,59.0,3,0,28,0,0,72,24.0,3,0,0,0,0,0,0,,3
Nate Hobbs,55948,CB,GB,11,0,12,59.7,,59.6,2,0,23,0,0,45,22.5,0,0,0,0,0,0,0,,2
Benjamin St-Juste,56061,CB,LAC,17,0,27,,60.1,60.2,0,0,0,0,0,0,,2,1,0,0,1,0,0,0.0,1
Keisean Nixon,56167,CB,GB,18,0,12,58.7,33.3,42.0,3,0,28,0,0,69,23.0,0,3,1,3,1,0,3,1.0,6
Quentin Lake,56245,S,LA,13,0,26,61.2,,61.2,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,,1
Brian Robinson,57120,HB,SF,19,0,28,65.9,,66.6,19,0,46,0,0,508,26.7,0,0,0,0,0,0,0,,19
Gary Brightwell,57133,HB,CIN,2,0,7,55.5,,55.0,4,0,26,0,0,83,20.8,0,0,0,0,0,0,0,,4
AJ Dillon,57165,HB,PHI,7,0,24,54.1,,53.5,2,0,25,1,0,25,12.5,0,0,0,0,0,0,0,,2
Cam Akers,57206,HB,SEA,7,0,29,59.2,,59.1,2,0,29,0,0,54,27.0,1,0,0,0,0,0,0,,2
Ronnie Rivers,57208,HB,LA,14,0,26,60.0,,60.0,22,0,46,0,0,569,25.9,0,0,0,0,0,0,0,,22
Connor Heyward,57301,TE,PIT,18,0,25,67.4,,68.1,2,0,0,1,0,0,0.0,1,0,0,0,0,0,0,,2
Michael Carter,57337,HB,ARZ,13,0,1,59.9,,59.9,1,0,27,0,0,27,27.0,0,0,0,0,0,0,0,,1
Trey Sermon,57372,HB,PIT,4,0,25,62.8,,63.0,2,0,26,0,0,51,25.5,1,0,0,0,0,0,0,,2
Chuba Hubbard,57373,HB,CAR,16,0,5,58.0,,57.8,9,0,27,0,0,233,25.9,0,0,0,0,0,0,0,,9
Owen Wright,57486,HB,TB,3,0,30,58.3,,58.1,3,0,28,0,0,73,24.3,0,0,0,0,0,0,0,,3
Brock Wright,60994,TE,DET,11,0,11,58.7,,58.7,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,,1
