Rank,Pos,Player,School,PFF Grade,PFF WAA,Notes,Overall Score,Score Label
"195","QB","Jayden Maiava","USC Trojans","86.9","0.773","","","Not Scored"
"196","S","Zakee Wheatley","Penn State Nittany Lions","85.9","0.172","","","Not Scored"
"197","TE","Justin Joly","North Carolina State Wolfpack","77.2","0.170","","","Not Scored"
"198","CB","Julian Neal","Arkansas Razorbacks","79.4","0.234","","","Not Scored"
"199","ED","Jaishawn Barham","Michigan Wolverines","78.2","0.222","","","Not Scored"
"200","S","Isaac Smith","Mississippi State Bulldogs","75.7","0.092","","","Not Scored"
"201","QB","Sam Leavitt","Arizona State Sun Devils","76.4","0.059","","","Not Scored"
"202","LB","Jake Golday","Cincinnati Bearcats","82.4","0.190","","","Not Scored"
"203","S","Keon Sabb","Alabama Crimson Tide","82.0","0.356","","","Not Scored"
"204","QB","LaNorris Sellers","South Carolina Gamecocks","76.2","0.228","","","Not Scored"
"205","WR","Malachi Fields","Notre Dame Fighting Irish","76.8","0.205","","","Not Scored"
"206","T","Brian Parker II","Duke Blue Devils","86.0","0.141","","","Not Scored"
"207","DI","Skyler Gill-Howard","Texas Tech Red Raiders","88.6","0.043","","","Not Scored"
"208","T","J.C. Davis","Illinois Fighting Illini","87.9","0.151","","","Not Scored"
"209","ED","Boubacar Traore","Notre Dame Fighting Irish","79.4","0.116","","","Not Scored"
"210","T","Cayden Green","Missouri Tigers","82.7","0.115","","","Not Scored"
"211","ED","Akheem Mesidor","Miami (FL) Hurricanes","92.1","0.375","","","Not Scored"
"212","LB","Jacob Rodriguez","Texas Tech Red Raiders","93.0","0.445","","","Not Scored"
"213","ED","Dani Dennis-Sutton","Penn State Nittany Lions","79.8","0.201","","","Not Scored"
"214","QB","Carson Beck","Miami (FL) Hurricanes","75.3","0.498","","","Not Scored"
"215","DI","Albert Regis","Texas A&M Aggies","72.8","0.117","","","Not Scored"
"216","WR","Zachariah Branch","Georgia Bulldogs","82.0","0.313","","","Not Scored"
"217","QB","Cade Klubnik","Clemson Tigers","79.0","0.431","","","Not Scored"
"218","T","Austin Barber","Florida Gators","83.1","0.154","","","Not Scored"
"219","S","Michael Taaffe","Texas Longhorns","88.1","0.241","","","Not Scored"
"220","DI","Bear Alexander","Oregon Ducks","73.3","0.127","","","Not Scored"
"221","HB","Kaytron Allen","Penn State Nittany Lions","89.5","0.143","","","Not Scored"
"222","TE","Michael Trigg","Baylor Bears","72.4","0.155","","","Not Scored"
"223","LB","Austin Romaine","Kansas State Wildcats","76.5","0.033","","","Not Scored"
"224","ED","Anto Saka","Northwestern Wildcats","72.9","0.009","","","Not Scored"
"225","G","Keylan Rutledge","Georgia Tech Yellow Jackets","75.8","0.170","","","Not Scored"
"226","HB","Justice Haynes","Michigan Wolverines","81.1","0.032","","","Not Scored"
"227","S","Jalen Stroman","Notre Dame Fighting Irish","80.6","0.132","","","Not Scored"
"228","ED","Kenyatta Jackson Jr.","Ohio State Buckeyes","72.6","0.104","","","Not Scored"
"229","T","Trevor Goosby","Texas Longhorns","83.3","0.197","","","Not Scored"
"230","WR","Jayce Brown","Kansas State Wildcats","75.0","0.063","","","Not Scored"
"231","QB","Drew Allar","Penn State Nittany Lions","72.4","0.067","","","Not Scored"
"232","WR","Bryce Lance","North Dakota State Bison","89.9","N/A","","","Not Scored"
"233","ED","Clev Lubin","Louisville Cardinals","91.3","0.260","","","Not Scored"
"234","LB","Kyle Louis","Pittsburgh Panthers","73.4","0.092","","","Not Scored"
"235","HB","Quintrevion Wisner","Texas Longhorns","77.1","0.025","","","Not Scored"
"236","HB","J'Mari Taylor","Virginia Cavaliers","75.9","-0.092","","","Not Scored"
"237","QB","Trinidad Chambliss","Mississippi Rebels","88.1","0.819","","","Not Scored"
"238","CB","Davison Igbinosun","Ohio State Buckeyes","81.5","0.267","","","Not Scored"
"239","HB","Le'Veon Moss","Texas A&M Aggies","75.9","0.001","","","Not Scored"
"240","ED","Malachi Lawrence","UCF Knights","80.4","0.075","","","Not Scored"
"241","HB","Nicholas Singleton","Penn State Nittany Lions","77.5","0.076","","","Not Scored"
